id,sex,race,age,marital_status,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,c_custody_in_days,c_charges,c_charge_degrees,r_custody_in_days,r_charges,r_charge_degrees,h_prison,h_jail,rec_supervision_level,raw_v,score_v_txt,dec_v,raw_r,score_r_txt,dec_r,raw_a,score_a_txt,dec_a
1,Male,Other,32,Single,0,0,0,0,0,0,2.0,Battery,(M1),,,,,2.0,1,-2.2,Low,4,-0.83,Low,3,17,Low,2
1,Female,African-American,54,Separated,0,0,0,0,0,0,111.0,"Poss3,4 Methylenedioxymethcath,Side Wind/Rest Sunscreen,Restriction For Wndow Behnd Drv","(F3),(0),(0)",,,,162.0,111.0,3,-1.89,Medium,5,0.39,High,9,29,High,9
1,Male,African-American,44,Significant Other,0,0,0,8,0,0,0.0,"Driving License Suspended,Viol Municipal Speed / Posted,Expired Tag/Infraction,Fail Wear Safety Belt/Operator,No Proof of Insurance","(M2),(0),(0),(0),(0)",,,,538.0,0.0,2,-2.21,Low,4,-0.25,Medium,6,18,Low,3
1,Female,Caucasian,49,Married,0,0,0,0,-1,0,,,,,,,,0.0,1,-3.61,Low,1,-1.99,Low,1,17,Low,2
1,Male,African-American,27,Single,0,0,0,8,1,1,17.0,Carrying Concealed Firearm,(F3),,"Driving License Suspended,Unlaw LicTag/Sticker Attach,Pers/Inj/Prot/Ins Require,Expired Tag More Than 6 Months,Fail Wear Safety Belt/Operator","(M2),(M2),(0),(0),(0)",,1.0,1,-2.55,Low,3,-0.93,Low,3,12,Low,1
1,Female,Caucasian,36,Single,0,0,0,3,0,0,1.0,"Dealing in Stolen Property,Dealing in Stolen Property,Grand Theft in the 3rd Degree","(F2),(F2),(F3)",,,,,1.0,1,-3.11,Low,1,-1.23,Low,3,23,Medium,6
1,Male,African-American,26,Single,0,0,1,5,1,0,1.0,"Pos Cannabis W/Intent Sel/Del,Possess Drug Paraphernalia,Fnt St Pass/Ovr 18/Stbelt","(F3),(M1),(0)",27.0,"Possess Cannabis/20 Grams Or Less,Operating W/O Valid License,Side Wind/Rest Sunscreen,No Tag Light","(M1),(M2),(0),(0)",,1.0,2,-1.27,Medium,7,0.07,Medium,7,15,Low,1
1,Male,African-American,33,Single,0,0,0,0,1,1,38.0,"Deliver Cocaine,Tampering With Physical Evidence","(F2),(F3)",,"False Imprisonment,Battery,Tampering With A Victim","(F3),(M1),(F2)",,21.0,3,-1.67,Medium,6,0.82,High,10,26,Medium,7
1,Male,African-American,32,Single,0,0,0,4,1,0,1.0,"Att Tamper w/Physical Evidence,Possess Cannabis/20 Grams Or Less,Fail Wear Safety Belt/Operator","(F3),(M1),(0)",2.0,"Felon in Pos of Firearm or Amm,Poss F/A Serial Num Removed,Resist/Obstruct W/O Violence,Possess Cannabis/20 Grams Or Less,Possess Drug Paraphernalia","(F2),(M1),(M1),(M1),(M1)",,2.0,3,-2.3,Low,3,0.25,High,8,20,Low,3
1,Male,African-American,63,Single,0,0,0,0,0,0,2.0,Battery,(M1),,,,,2.0,1,-4.33,Low,1,-2.74,Low,1,15,Low,1
1,Male,Hispanic,27,Single,0,0,0,2,0,0,0.0,"Possession of Cocaine,Possess Cannabis/20 Grams Or Less,Possession of Oxycodone,Carrying Concealed Firearm,Stand/Park Proh/Fire Hydrant,Careless Driving,Side Wind/Rest Sunscreen","(F3),(M1),(F3),(F3),(0),(0),(0)",,,,,0.0,1,-2.54,Low,3,-0.88,Low,3,12,Low,1
1,Male,Caucasian,55,Single,0,0,0,0,0,0,2.0,Aggravated Assault W/Dead Weap,(F3),,,,,2.0,1,-4.21,Low,1,-2.56,Low,1,11,Low,1
1,Male,Caucasian,29,Single,0,0,0,0,-1,0,,,,,,,,,3,-1.73,Medium,6,0.21,High,8,16,Low,2
1,Male,African-American,32,Single,0,0,0,15,0,0,92.0,Felony Petit Theft,(F3),,,,221.0,92.0,4,-1.1,High,8,0.7,High,10,40,High,10
1,Male,African-American,38,Single,0,0,2,5,0,0,166.0,"Burglary Structure Assault/Batt,Battery,Criminal Mischief>$200<$1000,Petit Theft","(F3),(M1),(M1),(M2)",,,,297.0,9.0,1,-2.19,Low,4,-0.81,Low,3,17,Low,2
1,Male,Caucasian,53,Single,0,0,0,19,0,0,6.0,Fel Drive License Perm Revoke,(F3),,,,224.0,13.0,1,-2.59,Low,2,-0.46,Medium,5,29,High,8
1,Male,Other,49,Single,0,0,0,7,1,0,4.0,"Agg Fleeing and Eluding,Driving While License Revoked,Resist/Obstruct W/O Violence,Reckless Driving,Disobey/Ran Stop Sign,Fail Stop Red Signal Rght Turn,Red Light Camera Violation,Red Light Camera Violation","(F3),(F3),(M1),(M2),(0),(0),(0),(0)",,"Possess Cannabis/20 Grams Or Less,No Tag Light","(M1),(0)",,7.0,1,-2.81,Low,2,-0.82,Low,3,20,Low,3
1,Male,Caucasian,26,Single,0,0,2,6,0,0,12.0,Operating W/O Valid License,(M2),,,,,41.0,4,-1.18,High,8,0.1,High,8,16,Low,2
1,Female,Caucasian,33,Single,0,0,0,4,1,0,11.0,Battery,(M1),1.0,Grand Theft in the 3rd Degree,(F3),,1.0,1,-2.67,Low,2,-0.73,Medium,5,16,Low,2
1,Male,Caucasian,24,Significant Other,0,0,0,1,1,0,1.0,Battery,(M1),3.0,"Poss Cocaine/Intent To Del/Sel,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Child Neglect/Delinquency,Child Neglect/Delinquency,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia,Possess Drug Paraphernalia","(F3),(F3),(F3),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1),(M1)",,1.0,1,-2.49,Low,3,-1.23,Low,2,15,Low,1
1,Male,African-American,34,Single,2,1,3,21,1,0,33.0,Poss Wep Conv Felon,(F2),178.0,Unlaw Use False Name/Identity,(M1),760.0,178.0,3,-1.55,Medium,6,0.32,High,9,25,Medium,6
1,Male,Caucasian,29,Single,0,0,0,0,0,0,0.0,"Possess Cannabis/20 Grams Or Less,Poss/Drug Para/Inject/Ingest","(M1),(M1)",,,,,0.0,1,-2.62,Low,2,-1.08,Low,2,14,Low,1
1,Female,African-American,21,Single,0,0,0,2,0,0,80.0,Burglary Unoccupied Dwelling,(F2),,,,,3.0,4,-1.16,High,8,0.03,High,8,20,Low,4
1,Male,African-American,51,Single,0,0,0,2,0,0,1.0,Unlaw Use False Name/Identity,(M1),,,,,1.0,1,-3.6,Low,1,-1.77,Low,1,15,Low,1
1,Male,African-American,36,Significant Other,0,0,0,0,-1,0,,,,,,,,1.0,1,-3.41,Low,1,-1.97,Low,1,11,Low,1
1,Male,Caucasian,29,Married,0,0,0,2,1,0,1.0,Viol Injunct Domestic Violence,(M1),1.0,Viol Pretrial Release Dom Viol,(M1),,1.0,1,-2.78,Low,2,-1.33,Low,2,18,Low,3
1,Male,African-American,25,Single,0,0,0,0,0,0,272.0,"Burglary Unoccupied Dwelling,Prowling/Loitering,Possess Drug W/O Prescription","(F2),(M2),(M2)",,,,,1.0,2,-1.35,Medium,7,-0.25,Medium,6,13,Low,1
1,Female,African-American,51,Separated,0,0,0,7,0,0,2.0,Possession of Cocaine,(F3),,,,,8.0,1,-2.82,Low,2,-1.32,Low,2,16,Low,2
1,Male,Caucasian,28,Single,0,0,0,8,0,0,1.0,"Possession of Cocaine,Possess Cannabis/20 Grams Or Less,Possess Drug Paraphernalia,License Suspended W/O Knowledge,Drive Veh Unsafe/Defect Equip","(F3),(M1),(M1),(0),(0)",,,,351.0,1.0,2,-1.98,Low,4,-0.01,Medium,7,17,Low,2
1,Male,African-American,36,Married,0,0,0,22,0,0,197.0,Burglary Dwelling Occupied,(M1),,,,217.0,197.0,4,-0.31,High,10,0.58,High,9,37,High,10
1,Male,African-American,29,Single,0,0,0,0,1,0,0.0,Defrauding Innkeeper $300/More,(F3),36.0,Viol Injunct Domestic Violence,(M1),,36.0,2,-2.8,Low,2,-0.06,Medium,7,19,Low,3
1,Male,Other,29,Single,0,0,0,0,0,0,2.0,Battery,(M1),,,,,2.0,1,-2.9,Low,2,-1.55,Low,1,14,Low,1
1,Male,Caucasian,25,Single,0,0,0,9,1,1,7.0,Battery,(M1),9.0,Agg Battery Grt/Bod/Harm,(F2),10.0,9.0,4,-0.77,High,9,1.07,High,10,18,Low,3
1,Male,African-American,35,Significant Other,1,0,4,13,1,1,1.0,"Uttering a Forged Instrument,Grand Theft in the 3rd Degree","(F3),(F3)",1.0,DOC/Fighting/Threatening Words,(MO3),,1.0,3,-2.54,Low,3,0.1,High,8,23,Medium,5
1,Male,Caucasian,49,Married,0,0,0,0,0,0,0.0,"DUI Level 0.15 Or Minor In Veh,Driving Under The Influence,Fail To Use Due Care","(M1),(M1),(0)",,,,,0.0,1,-3.94,Low,1,-2.43,Low,1,11,Low,1
1,Male,African-American,34,Single,0,0,0,4,1,0,51.0,"Driving License Suspended,Fail Dim Headlights/Imp Adjust","(M2),(0)",,"DWLS Canceled Disqul 1st Off,Fail To Obey Traff Control Dev","(M2),(0)",,51.0,1,-2.64,Low,2,-0.94,Low,3,17,Low,2
1,Male,African-American,29,Significant Other,0,0,0,0,0,0,0.0,"Tampering With Physical Evidence,Resist/Obstruct W/O Violence","(F3),(M1)",,,,,0.0,1,-2.41,Low,3,-0.59,Low,4,13,Low,1
1,Male,Caucasian,29,Single,0,0,0,1,1,0,0.0,"Possession of Oxycodone,Possession Of Carisoprodol,Fail To Stop Steady Red Signal,Poss Contr Subst W/o Prescript,Poss Of RX Without RX","(F3),(F3),(0),(F3),(M2)",0.0,"DUI Level 0.15 Or Minor In Veh,Driving Under The Influence,Vehicle Damage Road Surface","(M1),(M1),(0)",,0.0,1,-2.86,Low,2,-1.22,Low,2,12,Low,1
1,Female,Other,28,Single,0,0,0,0,0,0,1.0,"Grand Theft in the 3rd Degree,Contribute Delinquency Of A Minor","(F3),(M1)",,,,,1.0,1,-2.71,Low,2,-1.45,Low,2,12,Low,1
1,Male,Caucasian,51,Single,0,0,0,0,0,0,25.0,Grand Theft in the 3rd Degree,(F3),,,,,25.0,1,-3.21,Low,1,-1.08,Low,2,21,Low,4
1,Male,Caucasian,25,Single,0,0,0,0,0,0,0.0,"Possession of Cocaine,Possess Cannabis/20 Grams Or Less,Advertisement of Drug Para","(F3),(M1),(M1)",,,,,0.0,1,-2.35,Low,3,-0.98,Low,3,17,Low,2
1,Male,Caucasian,48,Single,0,0,0,20,1,0,11.0,Petit Theft Habitual Offender,(F3),,Trespass Struct/Conveyance,(M2),206.0,11.0,2,-2.13,Low,4,-0.27,Medium,6,21,Low,4
1,Male,Caucasian,33,Single,0,0,0,1,0,0,1.0,"Burglary Unoccupied Dwelling,Grand Theft Dwell Property,Unlaw Use False Name/Identity","(F2),(F3),(M1)",,,,1664.0,0.0,4,-0.45,High,10,0.42,High,9,32,High,9
1,Female,Hispanic,63,Widowed,0,0,0,1,0,0,8.0,"Trafficking In Illegal Drugs,Traf In Contraband Legend Drug,Organized Fraud","(F1),(F1),(F1)",,,,,8.0,1,-4.23,Low,1,-2.51,Low,1,13,Low,1
1,Male,African-American,30,Single,0,0,1,3,0,0,2.0,Possession of Cocaine,(F3),,,,,2.0,2,-2.21,Low,4,-0.28,Medium,6,18,Low,3
1,Male,African-American,31,Single,0,0,1,15,1,0,136.0,Attempt Armed Burglary Dwell,(F2),,"Operating W/O Valid License,Speed Posted Municip/State Rd-Driver,Careless Driving","(M2),(0),(0)",,136.0,2,-1.45,Medium,7,-0.43,Medium,5,25,Medium,6
1,Male,African-American,24,Single,0,0,0,2,1,0,2.0,"Poss Tetrahydrocannabinols,Grand Theft in the 3rd Degree,Deposit Item W/I/Defraud,Possess Drug Paraphernalia","(F3),(F3),(F3),(M1)",0.0,Possess Cannabis/20 Grams Or Less,(M1),,2.0,1,-2.04,Low,4,-0.6,Low,4,12,Low,1
1,Male,African-American,27,Single,0,0,0,0,0,0,1.0,Felony Driving While Lic Suspd,(F3),,,,,1.0,1,-2.51,Low,3,-0.46,Medium,5,16,Low,2
1,Male,Caucasian,32,Single,0,0,0,3,0,0,1.0,"Tampering With Physical Evidence,Possess Cannabis/20 Grams Or Less,Unlaw Use False Name/Identity,Possess Drug Paraphernalia","(F3),(M1),(M1),(M1)",,,,,1.0,3,-2.71,Low,2,0.09,High,8,15,Low,1
1,Male,Hispanic,30,Single,0,0,0,0,0,0,23.0,Possess Cannabis/20 Grams Or Less,(M1),,,,,23.0,2,-2.36,Low,3,-0.01,Medium,7,15,Low,1
1,Male,African-American,49,Married,0,0,0,4,0,0,1.0,Battery,(M1),,,,,1.0,1,-3.38,Low,1,-2.05,Low,1,13,Low,1
1,Male,Caucasian,53,Single,0,0,0,8,0,0,13.0,"Felony Battery (Dom Strang),Felony Battery w/Prior Convict","(F3),(F3)",,,,1196.0,13.0,1,-2.93,Low,2,-0.51,Medium,5,16,Low,2
1,Female,Hispanic,31,Single,0,0,0,0,0,0,0.0,Battery,(M1),,,,,0.0,1,-3.18,Low,1,-1.84,Low,1,11,Low,1
1,Male,African-American,35,Significant Other,0,0,0,5,0,0,1.0,"Driving While License Revoked,Fail Wear Safety Belt/Operator","(F3),(0)",,,,,1.0,1,-2.94,Low,2,-0.93,Low,3,14,Low,1
1,Male,African-American,63,Single,0,0,0,10,1,0,36.0,"Possess Drug Paraphernalia,Open Cont Alcohol/ Prohib","(M1),(MO3)",,Petit Theft,(M2),1583.0,36.0,2,-1.91,Medium,5,0.01,Medium,7,28,High,8
1,Male,African-American,33,Married,0,0,0,2,0,0,1.0,"Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,Battery","(F2),(F2),(M1)",,,,,1.0,1,-3.25,Low,1,-1.84,Low,1,13,Low,1
1,Male,African-American,27,Single,1,1,2,15,1,0,1.0,"Driving While License Revoked,Side Wind/Rest Sunscreen,Expired DL More Than 6 Months","(F3),(0),(M2)",5.0,Possess Cannabis/20 Grams Or Less,(M1),,1.0,4,-0.9,High,9,0.69,High,10,20,Low,3
1,Male,Caucasian,38,Single,0,0,0,4,1,0,2.0,"Battery,Criminal Mischief>$200<$1000","(M1),(M1)",,"Susp Drivers Lic 1st Offense,Unlaw LicTag/Sticker Attach,Pers/Inj/Prot/Ins Require,Op Veh Unsafe/Improper/Equip,Expired DL < 6 Months,Expired Tag/Infraction","(M2),(M2),(0),(0),(0),(0)",,2.0,1,-2.7,Low,2,-1.11,Low,2,16,Low,2
1,Male,Caucasian,46,Married,3,1,0,9,0,0,2.0,Grand Theft in the 3rd Degree,(F3),,,,384.0,2.0,2,-2.41,Low,3,-0.17,Medium,6,21,Low,4
1,Male,African-American,22,Single,0,0,1,1,1,0,1.0,"Possess Cannabis/20 Grams Or Less,Poss Firearm W/Altered ID#,Carrying Concealed Firearm","(M1),(F3),(F3)",,"Possess Cannabis/20 Grams Or Less,Possess Drug Paraphernalia,Headlight Violation/Wrong","(M1),(M1),(0)",,1.0,2,-1.61,Medium,6,-0.62,Low,4,13,Low,1
1,Female,Caucasian,34,Married,0,0,0,0,0,0,0.0,Battery,(M1),,,,,0.0,1,-3.31,Low,1,-1.88,Low,1,11,Low,1
1,Male,African-American,22,Single,0,1,2,2,1,0,124.0,"Robbery W/Firearm,Sell Conterfeit Cont Substance","(F1),(F3)",89.0,"Operating W/O Valid License,Susp Drivers Lic 1st Offense,Disobey/Ran Stop Sign","(M2),(M2),(0)",483.0,89.0,4,-0.65,High,9,0.84,High,10,20,Low,3
1,Male,African-American,29,Single,0,0,0,4,1,0,19.0,"Felony Battery w/Prior Convict,False Imprisonment,Harass Witness/Victm/Informnt","(F3),(F3),(F2)",,"Aggrav Stalking After Injunctn,Resist Officer w/Violence,Viol Injunct Domestic Violence,Criminal Mischief>$200<$1000","(F3),(F3),(M1),(M1)",340.0,98.0,3,-1.8,Medium,5,0.44,High,9,23,Medium,5
1,Male,Hispanic,62,Single,0,0,0,0,0,0,0.0,"Unlaw LicTag/Sticker Attach,Susp Drivers Lic 1st Offense,Expired Tag More Than 6 Months","(M2),(M2),(0)",,,,,0.0,1,-3.88,Low,1,-1.98,Low,1,12,Low,1
1,Male,African-American,27,Single,0,1,0,6,1,0,30.0,"Aggravated Battery / Pregnant,Battery","(F2),(M1)",1.0,Possession of Cocaine,(F3),,6.0,2,-2.32,Low,3,-0.25,Medium,6,18,Low,3
1,Male,Other,33,Single,0,0,0,0,0,0,1.0,Battery,(M1),,,,,1.0,1,-3.24,Low,1,-1.88,Low,1,11,Low,1
1,Female,African-American,56,Divorced,0,0,0,0,0,0,3.0,Battery,(M1),,,,,3.0,1,-4.15,Low,1,-2.57,Low,1,13,Low,1
1,Male,Hispanic,45,Single,0,0,0,6,1,1,242.0,"Possession of Cocaine,Operating W/O Valid License","(F3),(M2)",,"Operating W/O Valid License,Fail Wear Safety Belt/Operator","(M2),(0)",1730.0,430.0,1,-3.55,Low,1,-2.08,Low,1,13,Low,1
1,Male,Hispanic,22,Single,0,0,0,1,0,0,1.0,Burglary Structure Unoccup,(F3),,,,,1.0,2,-1.59,Medium,6,-0.52,Low,4,14,Low,1
1,Female,Caucasian,31,Single,0,0,0,2,0,0,1.0,"Felony Driving While Lic Suspd,Unlaw LicTag/Sticker Attach,Pers/Inj/Prot/Ins Require,Oper Veh Unsafe/Improp Equip","(F3),(M2),(0),(0)",,,,,1.0,1,-2.62,Low,2,-1.2,Low,3,14,Low,1
1,Male,African-American,34,Married,0,0,0,0,0,0,419.0,"Aggravated Battery,Aggrav Battery w/Deadly Weapon,Agg Battery Grt/Bod/Harm,False Imprisonment,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm","(F2),(F2),(F2),(F3),(F2),(F2),(F2),(F2),(F2)",,,,2129.0,419.0,1,-2.03,Low,4,-0.56,Low,4,22,Medium,5
1,Male,African-American,39,Single,0,0,0,1,0,0,5.0,Battery,(M1),,,,,5.0,1,-2.87,Low,2,-0.63,Low,4,16,Low,2
1,Male,African-American,24,Single,0,1,0,4,0,0,1.0,Battery,(M1),,,,,1.0,2,-2.03,Low,4,-0.22,Medium,6,14,Low,1
1,Male,African-American,29,Single,0,0,0,5,1,0,1.0,"False Name By Person Arrest,Susp Drivers Lic 1st Offense","(F3),(M2)",1.0,"Operating W/O Valid License,Fail Wear Safety Belt/Operator","(M2),(0)",,1.0,2,-2.36,Low,3,-0.24,Medium,6,16,Low,2
1,Male,Caucasian,27,Single,0,0,1,1,1,0,14.0,"Dealing in Stolen Property,Dealing in Stolen Property,False Ownership Info/Pawn Item,False Ownership Info/Pawn Item","(F2),(F2),(F3),(F3)",,Pos Cannabis W/Intent Sel/Del,(F3),,22.0,2,-2.31,Low,3,-0.22,Medium,6,18,Low,3
1,Male,African-American,41,Married,0,0,0,0,-1,0,,,,,,,,29.0,1,-2.98,Low,1,-1.31,Low,2,23,Medium,5
1,Female,Hispanic,24,Single,0,0,0,1,0,0,0.0,"DUI Property Damage/Injury,DUI Property Damage/Injury,DUI Property Damage/Injury,Fail To Stop Steady Red Signal","(M2),(M2),(0),(0)",,,,,0.0,1,-2.61,Low,2,-0.96,Low,4,12,Low,1
1,Male,African-American,40,Single,0,0,0,2,0,0,3.0,"Felony Battery (Dom Strang),Battery","(F3),(M1)",,,,,3.0,1,-3.27,Low,1,-1.21,Low,2,18,Low,3
